Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
takamine-ctp-3-tdp-preamplifier-dmp-ptu-black-musical-instrument,TAKAMINE CTP-3 TDP preamplifier DMP PTU Black Musical Instrument,TAKAMINE CTP-3 TDP preamplifier DMP PTU Black Musical Instrument description,,,,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,260.7,260.7,TRUE,TRUE,,https://i.ebayimg.com/images/g/7f4AAOSwBjNjRTq6/s-l500.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
takamine-ctp-3-tdp-preamplifier-dmp-ptu-black-musical-instrument,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/96cAAOSwh31jRTq6/s-l500.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
fender-hama-okamoto-black-guitar-katana-bass-rosewood-fingerboard,Fender Hama Okamoto Black Guitar Katana Bass Rosewood Fingerboard,Fender Hama Okamoto Black Guitar Katana Bass Rosewood Fingerboard description,,,,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,1159.89,1159.89,TRUE,TRUE,,https://i.ebayimg.com/images/g/pS4AAOSw825i3itP/s-l500.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
fender-hama-okamoto-black-guitar-katana-bass-rosewood-fingerboard,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/DrIAAOSwI3Ni3itO/s-l500.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
fender-hama-okamoto-black-guitar-katana-bass-rosewood-fingerboard,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/bFAAAOSwabFi3itP/s-l500.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
fender-hama-okamoto-black-guitar-katana-bass-rosewood-fingerboard,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/BBEAAOSweTpi3itP/s-l500.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
fender-hama-okamoto-black-guitar-katana-bass-rosewood-fingerboard,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/Ji8AAOSwsIJi3itP/s-l500.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
fender-hama-okamoto-black-guitar-katana-bass-rosewood-fingerboard,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/8ksAAOSwbG5i3itP/s-l500.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
fender-hama-okamoto-black-guitar-katana-bass-rosewood-fingerboard,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/KekAAOSwgq9i3itP/s-l500.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
fender-hama-okamoto-black-guitar-katana-bass-rosewood-fingerboard,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/eaQAAOSw2eFi3itQ/s-l500.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,
fender-hama-okamoto-black-guitar-katana-bass-rosewood-fingerboard,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/siEAAOSwLNti3itQ/s-l500.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,
roland-fr-4x-bk-v-accordion-digital-accordion-piano-keyboard-type-black,Roland FR-4X BK V-Accordion Digital Accordion Piano Keyboard Type Black,Roland FR-4X BK V-Accordion Digital Accordion Piano Keyboard Type Black description,,,,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,4109.3,4109.3,TRUE,TRUE,,https://i.ebayimg.com/images/g/3-UAAOSwD9BhukDa/s-l500.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
